StockCode,Description,Quantity,Revenue
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,108545,24898.219999999998
85123A,CREAM HANGING HEART T-LIGHT HOLDER,96066,253720.02
85123A,?,96066,253720.02
85123A,wrongly marked carton 22804,96066,253720.02
85123A,WHITE HANGING HEART T-LIGHT HOLDER,96066,253720.02
85123A,21733 mixed,96066,253720.02
85099B,JUMBO BAG RED RETROSPOT,95739,181278.51
85099B,JUMBO BAG RED WHITE SPOTTY ,95739,181278.51
85099B,RED RETROSPOT JUMBO BAG ,95739,181278.51
85099B,missing,95739,181278.51
21212,PACK OF 72 RETROSPOT CAKE CASES,95450,52447.54
21212,PACK OF 72 RETRO SPOT CAKE CASES,95450,52447.54
84879,ASSORTED COLOUR BIRD ORNAMENT,80705,131413.85
84879,Dotcom multiples,80705,131413.85
84879,damaged,80705,131413.85
22197,POPCORN HOLDER,79363,80300.06999999999
22197,"POPCORN HOLDER , SMALL ",79363,80300.06999999999
22197,SMALL POPCORN HOLDER,79363,80300.06999999999
17003,BROCADE RING PURSE ,70700,14743.41
21977,PACK OF 60 PINK PAISLEY CAKE CASES,56575,28373.68
84991,60 TEATIME FAIRY CAKE CASES,54366,27216.27
22492,MINI PAINT SET VINTAGE  BOY+ GIRL,45384,28863.54
22492,MINI PAINT SET VINTAGE ,45384,28863.54
15036,ASSORTED COLOURS SILK FAN,42556,32397.52
21213,PACK OF 72 SKULL CAKE CASES,40644,21685.9
22616,PACK OF 12 LONDON TISSUES ,40295,12741.98
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40110,25059.7
20725,LUNCH BAG RED RETROSPOT,40011,70909.1
20725,LUNCH BAG RED SPOTTY,40011,70909.1
22178,VICTORIAN GLASS HANGING T-LIGHT,39738,52065.05
22386,JUMBO BAG PINK WITH WHITE SPOTS,39358,76244.93
22386,JUMBO BAG PINK POLKADOT,39358,76244.93
21232,STRAWBERRY CERAMIC TRINKET BOX,38033,49655.25
21232,STRAWBERRY CERAMIC TRINKET POT,38033,49655.25
84568,GIRLS ALPHABET IRON ON PATCHES ,37709,7881.0599999999995
84946,ANTIQUE SILVER T-LIGHT GLASS,37611,50822.94
84946,ANTIQUE SILVER TEA GLASS ETCHED,37611,50822.94
21915,RED  HARMONICA IN BOX ,37141,43812.8
21915,John Lewis,37141,43812.8
21915,Mixed with blue,37141,43812.8
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,35925,121662.14
85099F,JUMBO BAG STRAWBERRY,35853,67976.57
84992,72 SWEETHEART FAIRY CAKE CASES,35028,17409.83
22952,SET 72 CAKE CASES VINTAGE CHRISTMAS,33234,19571.23
22952,60 CAKE CASES VINTAGE CHRISTMAS,33234,19571.23
22952,72 CAKE CASES VINTAGE CHRISTMAS,33234,19571.23
71459,dotcom,32965,26935.23
71459,HANGING JAM JAR T-LIGHT HOLDERS,32965,26935.23
71459,HANGING JAM JAR T-LIGHT HOLDER,32965,26935.23
22355,"CHARLOTTE BAG , SUKI DESIGN",32524,46489.049999999996
22355,CHARLOTTE BAG SUKI DESIGN,32524,46489.049999999996
22355,test,32524,46489.049999999996
21982,PACK OF 12 SUKI TISSUES ,32195,10578.52
20724,RED SPOTTY CHARLOTTE BAG,32176,35342.799999999996
20724,RED RETROSPOT CHARLOTTE BAG,32176,35342.799999999996
21975,PACK OF 60 DINOSAUR CAKE CASES,31456,15319.49
21980,PACK OF 12 RED SPOTTY TISSUES ,31335,8651.8
21980,PACK OF 12 RED RETROSPOT TISSUES ,31335,8651.8
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,31172,25598.3
21080,SET/20 RED SPOTTY PAPER NAPKINS ,31172,25598.3
85099C,JUMBO  BAG BAROQUE BLACK WHITE,30936,59721.44
23084,Amazon,30646,66756.59
23084,website fixed,30646,66756.59
23084,temp adjustment,30646,66756.59
23084,for online retail orders,30646,66756.59
23084,allocate stock for dotcom orders ta,30646,66756.59
23084,RABBIT NIGHT LIGHT,30646,66756.59
23084,add stock to allocate online orders,30646,66756.59
16014,SMALL CHINESE STYLE SCISSOR,30370,9839.4
21931,JUMBO STORAGE BAG SUKI,29115,61574.65
21731,RED TOADSTOOL LED NIGHT LIGHT,28869,48081.78999999999
22469,missing,28596,50701.659999999996
22469,HEART OF WICKER SMALL,28596,50701.659999999996
21790,VINTAGE SNAP CARDS,27739,23932.93
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27292,57483.93
47566,PARTY BUNTING,27291,147948.5
47566,?,27291,147948.5
22151,PLACE SETTING WHITE HEART,26982,11422.39
21498,RED RETROSPOT WRAP ,26767,10989.42
21498,RED SPOTS  WRAP ,26767,10989.42
84970S,HANGING HEART ZINC T-LIGHT HOLDER,26719,22026.98
21981,PACK OF 12 WOODLAND TISSUES ,26321,7204.17
20727,LUNCH BAG  BLACK SKULL.,25915,44643.54
22423,REGENCY CAKESTAND 3 TIER,25764,327813.64999999997
22423,damaged,25764,327813.64999999997
22423,"broken, uneven bottom",25764,327813.64999999997
22423,damages,25764,327813.64999999997
22423,faulty,25764,327813.64999999997
22423,smashed,25764,327813.64999999997
22423,wonky bottom/broken,25764,327813.64999999997
21985,PACK OF 12 HEARTS DESIGN TISSUES ,25600,9001.64
21984,PACK OF 12 PINK PAISLEY TISSUES ,25373,7028.8099999999995
37410,damages,25327,3281.15
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25327,3281.15
22383,LUNCHBAG SUKI  DESIGN ,25274,43646.76
22383,LUNCH BAG SUKI DESIGN ,25274,43646.76
22383,LUNCH BAG SUKI  DESIGN ,25274,43646.76
21929,JUMBO BAG PINK VINTAGE PAISLEY,25210,49850.13
21929,?,25210,49850.13
21181,on cargo order,25142,50779.920000000006
21181,missing,25142,50779.920000000006
21181,dotcom,25142,50779.920000000006
21181,check,25142,50779.920000000006
21181,adjustment,25142,50779.920000000006
21181,PLEASE ONE PERSON METAL SIGN,25142,50779.920000000006
21181,PLEASE ONE PERSON  METAL SIGN,25142,50779.920000000006
20719,WOODLAND CHARLOTTE BAG,24813,28180.5
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24729,11919.24
21928,JUMBO BAG SCANDINAVIAN PAISLEY,24490,46559.14
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,24490,46559.14
20728,LUNCH BAG CARS BLUE,23604,41106.74
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,22460,18476.07
84945,dotcom,22460,18476.07
22417,PACK OF 60 SPACEBOY CAKE CASES,21527,11196.19
20726,LUNCH BAG WOODLAND,21329,37451.78
22629,SPACEBOY LUNCH BOX ,21152,38624.35
84978,damages,21142,28317.100000000002
84978,HANGING HEART JAR T-LIGHT HOLDER,21142,28317.100000000002
20668,DISCO BALL CHRISTMAS DECORATION,20873,2570.45
22384,LUNCHBAG PINK RETROSPOT,20755,34071.81
22384,LUNCH BAG PINK RETROSPOT,20755,34071.81
22384,LUNCH BAG PINK POLKADOTS,20755,34071.81
22384,LUNCH BAG PINK POLKADOT,20755,34071.81
22382,LUNCHBAG SPACEBOY DESIGN ,20206,34049.14
22382,LUNCH BAG SPACEBOY DESIGN ,20206,34049.14
84836,ZINC METAL HEART DECORATION,20149,24678.170000000002
23203,JUMBO BAG VINTAGE DOILY ,20013,40991.38
23203,JUMBO BAG VINTAGE DOILEY ,20013,40991.38
23203,mailout,20013,40991.38
23203,JUMBO BAG DOILEY PATTERNS,20013,40991.38
21137,BLACK RECORD COVER FRAME,19906,69247.18000000001
21166,COOK WITH WINE METAL SIGN ,19876,37590.98
21166,?,19876,37590.98
72741,GRAND CHOCOLATECANDLE,19717,27825.829999999998
72741,dotcom,19717,27825.829999999998
22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,19661,20821.7
22356,CHARLOTTE BAG PINK POLKADOT,19661,20821.7
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",19661,20821.7
21094,SET/6 RED SPOTTY PAPER PLATES,19399,15228.73
21231,SWEETHEART CERAMIC TRINKET BOX,19353,24229.2
84692,BOX OF 24 COCKTAIL PARASOLS,19287,9443.539999999999
20972,PINK CREAM FELT CRAFT TRINKET BOX ,19264,23598.45
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,19162,60533.44
20971,PINK BLUE FELT CRAFT TRINKET BOX,18762,24914.38
20713,wrongly marked. 23343 in box,18741,40941.11
20713,missing,18741,40941.11
20713,wrongly coded 23343,18741,40941.11
20713,wrongly coded-23343,18741,40941.11
20713,JUMBO BAG OWLS,18741,40941.11
20713,wrongly marked 23343,18741,40941.11
20713,Marked as 23343,18741,40941.11
20713,found,18741,40941.11
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18532,52319.96
20914,SET/5 RED SPOTTY LID GLASS BOWLS,18532,52319.96
20914,damages,18532,52319.96
20723,STRAWBERRY CHARLOTTE BAG,18298,20519.84
21326,AGED GLASS SILVER T-LIGHT HOLDER,18254,11906.18
22189,CREAM HEART CARD HOLDER,18162,54430.0
21175,GIN AND TONIC DIET METAL SIGN,18152,40605.85
21175,GIN + TONIC DIET METAL SIGN,18152,40605.85
22630,DOLLY GIRL LUNCH BOX,18089,33378.799999999996
22470,HEART OF WICKER LARGE,18030,54870.170000000006
22470,crushed,18030,54870.170000000006
22585,PACK OF 6 BIRDY GIFT TAGS,17941,22461.010000000002
84270,Damaged,17876,4547.07
84270,?,17876,4547.07
84270,ASSTD DESIGN BUBBLE GUM RING,17876,4547.07
22029,SPACEBOY BIRTHDAY CARD,17835,7380.7699999999995
22029,SPACE BOY BIRTHDAY CARD,17835,7380.7699999999995
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17827,20409.08
22961,mailout,17743,27798.289999999997
22961,JAM MAKING SET PRINTED,17743,27798.289999999997
22489,PACK OF 12 TRADITIONAL CRAYONS,17738,7489.139999999999
21497,FANCY FONTS BIRTHDAY WRAP,17625,7030.5
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17569,17397.789999999997
21791,VINTAGE HEADS AND TAILS CARD GAME ,17513,22836.98
21733,RED HANGING HEART T-LIGHT HOLDER,17479,50451.770000000004
21733,85123a mixed,17479,50451.770000000004
20712,missing,17467,37582.28
20712,JUMBO BAG WOODLAND ANIMALS,17467,37582.28
22077,found,17343,32008.989999999998
22077,6 RIBBONS RUSTIC CHARM,17343,32008.989999999998
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,17236,15445.31
84598,check,17223,4239.5
84598,BOYS ALPHABET IRON ON PATCHES,17223,4239.5
20975,12 PENCILS SMALL TUBE RED SPOTTY,17046,11408.43
20975,12 PENCILS SMALL TUBE RED RETROSPOT,17046,11408.43
22294,HEART FILIGREE DOVE  SMALL,17020,21083.27
22385,JUMBO BAG SPACEBOY DESIGN,16814,32023.93
82482,WOODEN PICTURE FRAME WHITE FINISH,16685,41478.43
79321,CHILLI LIGHTS,16651,84854.16
21704,BAG 250g SWIRLY MARBLES,16602,12835.529999999999
22659,LUNCHBOX I LOVE LONDON,16528,30621.469999999998
22659,LUNCH BOX I LOVE LONDON,16528,30621.469999999998
16156S,WRAP PINK FAIRY CAKES ,16505,6539.3
22090,PAPER BUNTING RETROSPOT,16335,49462.950000000004
22090,PAPER BUNTING RETRO SPOTS,16335,49462.950000000004
85152,HAND OVER THE CHOCOLATE   SIGN ,16225,31873.250000000004
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,16185,19177.25
21500,PINK SPOTS  WRAP ,16150,6521.0
21500,PINK POLKADOT WRAP ,16150,6521.0
22379,RECYCLING BAG RETROSPOT ,16008,35280.01
21086,SET/6 RED SPOTTY PAPER CUPS,15874,10527.51
